label,family,language_scope,task,execution,window_start,window_end,mean_auc,mean_accuracy,mean_ic,mean_directional_accuracy,mean_mse,mean_mae,strategy_num_weeks,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe_ratio,strategy_max_drawdown,strategy_win_rate,strategy_long_share,strategy_short_share,strategy_position_change_rate,strategy_long_cumulative_return,strategy_short_cumulative_return,strategy_long_mean_return,strategy_short_mean_return,benchmark_num_weeks,benchmark_cumulative_return,benchmark_annualized_return,benchmark_annualized_volatility,benchmark_sharpe_ratio,benchmark_max_drawdown,benchmark_win_rate,benchmark_long_share,benchmark_short_share,benchmark_position_change_rate,benchmark_long_cumulative_return,benchmark_short_cumulative_return,benchmark_long_mean_return,benchmark_short_mean_return,mean_active_return,annualized_active_return,tracking_error,information_ratio,active_win_rate,cumulative_return_diff,annualized_return_diff,sharpe_ratio_diff
V1 Chinese classification,V1,zh,classification,always_in,2021-01-22,2025-09-05,0.5366036028909619,0.5435413642960812,0.06144819561167582,0.5435413642960812,0.0,0.0,237,1.5506854503620184,0.22807332967063876,0.3594730858412327,0.6344656628100696,-0.4062940212836126,0.5358649789029536,0.510548523206751,0.48945147679324896,0.4936708860759494,2.109593343162984,-0.1797366507842022,0.010407944712396365,-0.00023402369926998928,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.00022908649042462995,-0.011912497502080758,0.5478531105506951,-0.021743962519636815,0.22784810126582278,-0.13655074964344038,-0.01413285364428285,-0.039645772109148325
V1 Chinese classification,V1,zh,classification,long_only,2021-01-22,2025-09-05,0.5366036028909619,0.5435413642960812,0.06144819561167582,0.5435413642960812,0.0,0.0,237,2.109593343162984,0.2826369386423939,0.23264101443406981,1.2149058897888054,-0.29960361762503007,0.3080168776371308,0.510548523206751,0.0,0.4936708860759494,2.109593343162984,0.0,0.010407944712396365,0.0,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.00011454324521231498,-0.005956248751040379,0.27392655527534754,-0.021743962519636815,0.22784810126582278,0.42235714315752526,0.04043075532747231,0.5407944548695875
V1 Chinese classification,V1,zh,classification,threshold_short_only,2021-01-22,2025-09-05,0.5366036028909619,0.5435413642960812,0.06144819561167582,0.5435413642960812,0.0,0.0,237,2.109593343162984,0.2826369386423939,0.23264101443406981,1.2149058897888054,-0.29960361762503007,0.3080168776371308,0.510548523206751,0.0,0.4936708860759494,2.109593343162984,0.0,0.010407944712396365,0.0,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.00011454324521231498,-0.005956248751040379,0.27392655527534754,-0.021743962519636815,0.22784810126582278,0.42235714315752526,0.04043075532747231,0.5407944548695875
V3 English classification,V3,en,classification,always_in,2021-01-22,2025-09-05,0.5809550833047151,0.551530612244898,0.09496557739763425,0.551530612244898,0.0,0.0,237,-0.28690264490787687,-0.07150517148856861,0.3614212248225009,-0.19784441692290158,-0.6420657141810875,0.540084388185654,0.510548523206751,0.48945147679324896,0.46835443037974683,0.6003884121353247,-0.5544223204286578,0.005164031116417997,-0.005703968053695697,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.005583631174925747,-0.29034882109613885,0.5016726024928574,-0.5787615661157671,0.22784810126582278,-1.9741388449133357,-0.3137113548034902,-0.8719558518421194
V3 English classification,V3,en,classification,long_only,2021-01-22,2025-09-05,0.5809550833047151,0.551530612244898,0.09496557739763425,0.551530612244898,0.0,0.0,237,0.6003884121353247,0.10868698190590442,0.2587294927389058,0.42007960033989933,-0.3607706024378594,0.31223628691983124,0.510548523206751,0.0,0.46835443037974683,0.6003884121353247,0.0,0.005164031116417997,0.0,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.0027918155874628735,-0.14517441054806943,0.2508363012464287,-0.5787615661157671,0.22784810126582278,-1.0868477878701341,-0.13351920140901719,-0.25403183457931855
V3 English classification,V3,en,classification,threshold_short_only,2021-01-22,2025-09-05,0.5809550833047151,0.551530612244898,0.09496557739763425,0.551530612244898,0.0,0.0,237,-0.13609281836991183,-0.03158771857323861,0.2848432586513028,-0.11089508918976179,-0.516633818857207,0.350210970464135,0.510548523206751,0.11392405063291139,0.5443037974683544,0.6003884121353247,-0.46018905468240867,0.005164031116417997,-0.021584185902072384,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.0052507734750407405,-0.27304022070211853,0.321551274519222,-0.8491343133699707,0.22784810126582278,-1.8233290183753708,-0.2737939018881602,-0.7850065241089796
V1 Chinese regression,V1,zh,regression,asymmetric_long_short,2021-01-22,2025-09-05,0.0,0.0,-0.06732417935870842,0.46727140783744553,0.0028541438737417204,0.04032141942197189,237,0.347023225959602,0.06754476301514845,0.1617563210855102,0.41757108817677585,-0.3181173072903113,0.46835443037974683,0.5864978902953587,0.4050632911392405,0.9915611814345991,0.5265715271042422,-0.11761538713173125,0.003423216603568777,-0.001228250698652754,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.003918114002067017,-0.20374192810748487,0.3321052848781879,-0.6134859557631396,0.42616033755274263,-1.3402129740458568,-0.17466142029977316,-0.256540346742442
V1 Chinese regression,V1,zh,regression,baseline_tanh,2021-01-22,2025-09-05,0.0,0.0,-0.06732417935870842,0.46727140783744553,0.0028541438737417204,0.04032141942197189,237,0.02723210252962116,0.005912478074904026,0.2211637904482637,0.026733481384635237,-0.43105926308008735,0.46835443037974683,0.5864978902953587,0.4050632911392405,0.9915611814345991,0.5265715271042422,-0.32709860999557616,0.003423216603568777,-0.00350928771043647,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.004842078361270547,-0.25178807478606846,0.4215832368098932,-0.5972440381912258,0.42616033755274263,-1.6600040974758377,-0.23629370524001758,-0.6473779535345826
V1 Chinese regression,V1,zh,regression,long_only_factor,2021-01-22,2025-09-05,0.0,0.0,-0.06732417935870842,0.46727140783744553,0.0028541438737417204,0.04032141942197189,237,0.6498324206345831,0.1161133887975292,0.1788081393358944,0.6493741796586119,-0.2726091200111048,0.31223628691983124,0.5864978902953587,0.0,0.7848101265822784,0.6498324206345831,0.0,0.0041354503006918305,0.0,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.003002871170966728,-0.15614930089026985,0.2844550984852149,-0.5489418249903016,0.3628691983122363,-1.0374037793708757,-0.12609279451739241,-0.024737255260605995
V1 Chinese regression,V1,zh,regression,threshold_short_only,2021-01-22,2025-09-05,0.0,0.0,-0.06732417935870842,0.46727140783744553,0.0028541438737417204,0.04032141942197189,237,0.4100602620018645,0.07831123682054142,0.15740393237346587,0.49751766451892415,-0.27714984828845857,0.3459915611814346,0.5864978902953587,0.09282700421940929,0.8776371308016878,0.5265715271042422,-0.07632217883913295,0.003423216603568777,-0.0034200207629450047,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.0037380650135190245,-0.19437938070298927,0.3092145261758531,-0.6286230569661011,0.42616033755274263,-1.2771759380035943,-0.1638949464943802,-0.17659377040029373
V3 English regression,V3,en,regression,asymmetric_long_short,2021-01-22,2025-09-05,0.0,0.0,0.11859701684893417,0.5307823129251701,0.00303977183163716,0.04130858543592854,237,0.719067595619052,0.12622576409290387,0.16955034380903522,0.7444736545923618,-0.18114775056023835,0.5443037974683544,0.5822784810126582,0.4177215189873418,0.9957805907172996,0.8061888597928166,-0.04823485855391452,0.004694897001292515,-0.0004046513028486142,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.0028635981102064323,-0.1489071017307345,0.345751497821344,-0.43067666421991163,0.42616033755274263,-0.9681686043864068,-0.11598041922201774,0.07036221967314393
V3 English regression,V3,en,regression,baseline_tanh,2021-01-22,2025-09-05,0.0,0.0,0.11859701684893417,0.5307823129251701,0.00303977183163716,0.04130858543592854,237,0.49154581222170113,0.09168534732785605,0.2414110549287885,0.37978934873094944,-0.2552547439892563,0.5443037974683544,0.5822784810126582,0.4177215189873418,0.9957805907172996,0.8061888597928166,-0.17420273957796784,0.004694897001292515,-0.0011561465795674815,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.003177513858709251,-0.16523072065288105,0.45281503317944677,-0.3648967206161672,0.42616033755274263,-1.1956903877837577,-0.15052083598706556,-0.29432208618826844
V3 English regression,V3,en,regression,long_only_factor,2021-01-22,2025-09-05,0.0,0.0,0.11859701684893417,0.5307823129251701,0.00303977183163716,0.04130858543592854,237,0.966504520210687,0.15995034417763487,0.1775317202920368,0.9009676913766124,-0.17789690797234836,0.350210970464135,0.5822784810126582,0.0,0.729957805907173,0.966504520210687,0.0,0.005426482636791201,0.0,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.0022685799807514472,-0.11796615899907525,0.2892312251942806,-0.40786107696302765,0.35443037974683544,-0.7207316797947718,-0.08225583913728673,0.2268562564573945
V3 English regression,V3,en,regression,threshold_short_only,2021-01-22,2025-09-05,0.0,0.0,0.11859701684893417,0.5307823129251701,0.00303977183163716,0.04130858543592854,237,0.5841871808749719,0.1062146346885946,0.16646561806602717,0.6380574915263612,-0.19119911856211746,0.4092827004219409,0.5822784810126582,0.12236286919831224,0.8776371308016878,0.8061888597928166,-0.12291166436676537,0.004694897001292515,-0.004282038259185093,237,1.6872362000054588,0.2422061833149216,0.35929695116942556,0.6741114349192179,-0.3090549388667879,0.569620253164557,1.0,0.0,0.0,1.6872362000054588,0.0,0.0054283040477437925,0.0,-0.003218529040731137,-0.16736351011801914,0.32436150566324523,-0.5159783365038924,0.42616033755274263,-1.103049019130487,-0.135991548626327,-0.036053943392856724
